"Ident";"Value";"Language";"Group";"System"
"ID___ModuleName__";"ID";"2";"__ModuleName__";"False"
"Name___ModuleName__";"Name";"2";"__ModuleName__";"False"
"State___ModuleName__";"Status";"2";"__ModuleName__";"False"
"CreateDate___ModuleName__";"Created";"2";"__ModuleName__";"False"
"AccountID___ModuleName__";"Creator";"2";"__ModuleName__";"False"
"SaveButton___ModuleName__";"Save";"2";"__ModuleName__";"False"
"BackButton___ModuleName__";"Back";"2";"__ModuleName__";"False"
"DeleteButton___ModuleName__";"Delete";"2";"__ModuleName__";"False"
"BasicInformation___ModuleName__";"Basic information";"2";"__ModuleName__";"False"
"TimeLine___ModuleName__";"Timeline";"2";"__ModuleName__";"False"
"New___ModuleName__";"New";"2";"__ModuleName__";"False"
"Saved___ModuleName__";"Saved";"2";"__ModuleName__";"False"
"Deleted___ModuleName__";"Deleted";"2";"__ModuleName__";"False"
"DeleteDialogTitle___ModuleName__";"Delete";"2";"__ModuleName__";"False"
"DeleteDialogDescription___ModuleName__";"Are you sure you want to delete this record?";"2";"__ModuleName__";"False"
"BasicExport___ModuleName__";"Export";"2";"__ModuleName__";"False"
"SelectValue___ModuleName__";"Select value";"2";"__ModuleName__";"False"
