"Ident";"Hodnota";"Jazky";"Skupina";"Systémový překlad"
"ID_SystemDial";"ID";"1";"SystemDial";"False"
"Ident_SystemDial";"Klíč";"1";"SystemDial";"False"
"TextValue_SystemDial";"Hodnota";"1";"SystemDial";"False"
"LanguageID_SystemDial";"Jazyk";"1";"SystemDial";"False"
"IsActive_SystemDial";"Aktivní";"1";"SystemDial";"False"
"Active_SystemDial";"Aktivní";"1";"SystemDial";"False"
"Inactive_SystemDial";"Neaktivní";"1";"SystemDial";"False"
"State_SystemDial";"Stav";"1";"SystemDial";"False"
"CreateDate_SystemDial";"Vytvořeno";"1";"SystemDial";"False"
"AccountID_SystemDial";"Autor";"1";"SystemDial";"False"
"SaveButton_SystemDial";"Uložit";"1";"SystemDial";"False"
"BackButton_SystemDial";"Zpět";"1";"SystemDial";"False"
"DeleteButton_SystemDial";"Smazat";"1";"SystemDial";"False"
"BasicInformation_SystemDial";"Základní informace";"1";"SystemDial";"False"
"TimeLine_SystemDial";"Časová osa";"1";"SystemDial";"False"
"New_SystemDial";"Nový";"1";"SystemDial";"False"
"Saved_SystemDial";"Uloženo";"1";"SystemDial";"False"
"Deleted_SystemDial";"Smazáno";"1";"SystemDial";"False"
"DeleteDialogTitle_SystemDial";"Smazat";"1";"SystemDial";"False"
"DeleteDialogDescription_SystemDial";"Opravdu chcete smazat tento záznam?";"1";"SystemDial";"False"
"BasicExport_SystemDial";"Export";"1";"SystemDial";"False"
"SystemDialGroup_SystemDial";"Systémové číselníky";"1";"SystemDial";"False"
