"Ident";"Value";"Language";"Group";"System"
"ID_SystemDial";"ID";"2";"SystemDial";"False"
"Ident_SystemDial";"Key";"2";"SystemDial";"False"
"TextValue_SystemDial";"Value";"2";"SystemDial";"False"
"LanguageID_SystemDial";"Language";"2";"SystemDial";"False"
"IsActive_SystemDial";"Active";"2";"SystemDial";"False"
"Active_SystemDial";"Active";"2";"SystemDial";"False"
"Inactive_SystemDial";"Inactive";"2";"SystemDial";"False"
"State_SystemDial";"Status";"2";"SystemDial";"False"
"CreateDate_SystemDial";"Created";"2";"SystemDial";"False"
"AccountID_SystemDial";"Creator";"2";"SystemDial";"False"
"SaveButton_SystemDial";"Save";"2";"SystemDial";"False"
"BackButton_SystemDial";"Back";"2";"SystemDial";"False"
"DeleteButton_SystemDial";"Delete";"2";"SystemDial";"False"
"BasicInformation_SystemDial";"Basic information";"2";"SystemDial";"False"
"TimeLine_SystemDial";"Timeline";"2";"SystemDial";"False"
"New_SystemDial";"New";"2";"SystemDial";"False"
"Saved_SystemDial";"Saved";"2";"SystemDial";"False"
"Deleted_SystemDial";"Deleted";"2";"SystemDial";"False"
"DeleteDialogTitle_SystemDial";"Delete";"2";"SystemDial";"False"
"DeleteDialogDescription_SystemDial";"Are you sure you want to delete this record?";"2";"SystemDial";"False"
"BasicExport_SystemDial";"Export";"2";"SystemDial";"False"
"SystemDialGroup_SystemDial";"System dials";"2";"SystemDial";"False"
"TranslationHasToBeCreatedForAllLanguagesJustOnce_Error_SystemDial";"Translation has to be created for all languages just once";"2";"SystemDial";"False"
