"Klíč";"Hodnota";"Jazyk";"Skupina";"System"
"Ident_Utility";"Klíč";"1";"Utility";"False"
"TextValue_Utility";"Textová hodnota";"1";"Utility";"False"
"Group_Utility";"Skupina";"1";"Utility";"False"
"LanguageID_Utility";"Jazyk";"1";"Utility";"False"
"Prefix_Utility";"Prefix";"1";"Utility";"False"
"Postfix_Utility";"Postfix";"1";"Utility";"False"
"ClearAfterSave_Utility";"Vymazat klíč a hodnotu po uložení";"1";"Utility";"False"
"ForceUpdate_Utility";"Vynutit přepsání";"1";"Utility";"False"
"SaveButton_Utility";"Uložit";"1";"Utility";"False"
"SaveAndNextButton_Utility";"Uložit a vytvořit další";"1";"Utility";"False"
"DeleteButton_Utility";"Smazat";"1";"Utility";"False"
"BackButton_Utility";"Zpět";"1";"Utility";"False"
"RecountPermissions_Utility";"Přepočítat práva";"1";"Utility";"False"
"Clear_Utility";"Vyčistit cache";"1";"Utility";"False"
"CreateButton_Utility";"Vytvořit";"1";"Utility";"False"
"UtilityGroup";"Systémové nástroje";"1";"Utility";"False"
"ResourceCreatorAllView_Utility";"Vytvařeč překladů";"1";"Utility";"False"
"PermissionSettingAllView_Utility";"Oprávnění";"1";"Utility";"False"
"SegmentTypeCreatorAllView_Utility";"Segmenty";"1";"Utility";"False"
"HistoryTypeCreatorAllView_Utility";"Typy historie";"1";"Utility";"False"
"CommunicationTypeCreatorAllView_Utility";"Typy komunikace";"1";"Utility";"False"
"NotificationSettingGroupCreatorAllView_Utility";"Notifikační skupiny";"1";"Utility";"False"
"PermissionTableAllView_Utility";"Přehled oprávnění k tabulkám";"1";"Utility";"False"
"AddButton_Utility";"Přidat";"1";"Utility";"False"
"ID_Utility";"Identifikátor";"1";"Utility";"False"
"ASPNETRoleID_Utility";"ASPNETRoleID";"1";"Utility";"False"
"NewID_Utility";"Nový identifikátor";"1";"Utility";"False"
"Weight_Utility";"Váha oprávnění";"1";"Utility";"False"
"IsComputed_Utility";"Je vypočítávané právo";"1";"Utility";"False"
"ParentID_Utility";"Rodičovský identifikátor";"1";"Utility";"False"
"VisibleType_Utility";"Typ zobrazení";"1";"Utility";"False"
"DefaultValue_Utility";"Defaultní hodnota";"1";"Utility";"False"
"ResourceKey_Utility";"Klíč pro překlad";"1";"Utility";"False"
"ColorCssClass_Utility";"Css třída barvy";"1";"Utility";"False"
"IsUsePermission_Utility";"Využívá práva";"1";"Utility";"False"
"UpdateButton_Utility";"Aktualizovat";"1";"Utility";"False"
"DeleteAndCreateButton_Utility";"Smazat a vytvořit znovu";"1";"Utility";"False"
"ResourceKeyTranslated_Utility";"Přeložený text pro překlad";"1";"Utility";"False"
"RoleResourceKey_Utility";"Překladový klíč role";"1";"Utility";"False"
"RoleResourceKeyTranslated_Utility";"Přeložený překladový klíč role";"1";"Utility";"False"
"ParentRole_Utility";"Rodičovská role";"1";"Utility";"False"
"IconCssClass_Utility";"Css třída ikony";"1";"Utility";"False"
